,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
31,18,27,37,47,57,68,78,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,11,20,30,39,49,59,69,79,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,5,14,23,32,41,51,60,70,80,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,8,16,25,34,43,52,62,71,81,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,2,10,19,27,36,45,54,63,72,81,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,5,13,21,29,38,47,55,64,73,82,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,7,15,23,31,40,48,57,65,74,82,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,2,10,18,25,33,42,50,58,66,74,83,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,5,12,20,28,35,43,51,59,67,75,83,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,7,15,22,30,37,45,52,60,68,76,84,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,3,10,17,24,32,39,44,53,61,68,74,84,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,5,12,19,26,33,40,47,54,62,69,77,84,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,1,8,14,21,28,35,41,48,55,62,70,77,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,4,10,17,23,29,36,43,49,54,63,70,78,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,5,9,14,19,24,28,34,38,41,49,54,59,65,70,76,82,88,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,2,7,11,16,20,25,30,35,39,44,50,55,60,65,71,77,82,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,4,8,13,17,22,27,31,36,41,45,50,56,61,66,71,77,83,88,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,2,6,10,14,19,23,28,32,37,42,46,51,56,61,67,72,77,82,88,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,3,7,12,16,21,24,29,33,38,43,47,52,57,62,67,72,78,83,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,1,5,9,13,17,21,26,30,34,39,44,48,53,58,63,68,73,78,85,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,3,7,11,15,19,23,27,31,36,40,44,49,54,58,63,68,73,78,84,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,1,6,8,12,16,20,24,28,32,37,41,45,50,54,59,64,69,74,79,84,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,2,6,10,14,17,21,25,29,33,38,42,46,51,55,60,64,69,74,79,84,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,1,4,8,11,15,19,23,26,30,34,39,43,47,51,56,60,65,70,74,79,84,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,2,6,9,11,16,20,24,28,31,35,39,44,48,52,56,61,65,70,75,80,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,2,5,8,12,15,19,22,26,30,34,37,41,45,49,54,58,62,66,71,76,80,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,3,7,10,13,17,20,24,27,31,34,38,42,46,50,54,58,63,67,71,76,81,85,91,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,2,5,8,11,14,18,21,23,28,32,35,39,43,47,51,55,59,63,67,72,76,81,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,3,6,9,12,16,19,22,26,29,33,36,40,44,48,51,55,60,64,68,72,77,81,86,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,2,5,8,11,14,17,20,23,27,30,34,37,41,45,48,52,54,60,64,68,73,77,81,86,90,95,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,29,31,35,38,42,45,49,53,57,61,65,69,73,77,82,85,91,95,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,10,13,16,19,22,25,29,32,35,39,42,44,50,53,57,61,65,69,73,77,82,84,91,95,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,1,6,8,11,14,17,20,23,24,30,33,34,40,43,47,50,54,58,62,66,70,74,78,82,84,91,95,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,10,12,15,18,21,24,27,31,34,37,40,44,47,51,55,58,62,66,70,74,78,82,87,91,95,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,8,11,14,16,19,22,25,28,31,35,38,41,45,48,52,55,59,63,64,70,74,78,82,87,91,95,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,9,12,15,18,20,23,24,29,32,35,39,42,45,49,52,54,59,63,67,71,75,79,83,87,91,94,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,8,10,13,16,19,21,24,27,30,33,36,39,43,46,49,53,56,60,63,67,71,75,79,83,87,91,94,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,9,12,14,17,20,22,25,28,31,34,37,40,43,47,50,53,57,60,64,68,71,75,79,83,87,91,94,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,8,10,13,15,18,21,23,26,29,32,35,38,41,44,47,50,54,57,61,64,68,72,75,79,83,87,91,94,,,,,,,,,,,,,,,,
