,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
31,10,18,26,35,44,52,61,71,80,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4,12,20,28,37,45,54,63,73,81,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,7,15,22,30,39,47,56,64,73,82,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,2,9,17,25,32,40,49,57,65,74,83,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,4,12,19,27,34,42,50,58,67,75,83,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,7,14,21,29,36,44,52,60,68,76,84,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,3,9,16,23,31,38,46,53,61,69,76,84,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,5,12,19,26,33,40,47,55,62,69,77,84,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,1,7,14,21,27,34,42,49,56,63,70,77,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,3,10,16,23,29,36,43,52,57,64,71,78,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,6,12,18,25,31,38,44,51,58,64,71,78,85,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,2,8,14,20,27,33,39,46,52,58,64,71,78,85,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,5,10,14,22,29,35,41,47,53,59,66,72,79,86,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,2,7,12,17,21,24,31,37,42,47,53,58,64,70,75,81,87,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,4,9,13,18,23,28,33,38,43,48,53,59,64,70,76,82,88,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,2,6,10,15,20,24,29,34,39,44,49,54,60,65,71,76,82,88,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,3,6,12,17,21,26,90,35,40,45,50,55,60,66,71,77,82,88,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,1,5,9,14,18,22,27,32,36,41,46,51,56,61,66,72,77,83,88,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,3,7,11,15,19,24,28,33,37,42,47,52,57,62,67,72,77,83,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,1,5,8,12,17,21,25,29,34,38,41,48,52,57,62,67,73,78,81,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,2,6,10,14,18,22,26,31,35,39,44,49,53,58,63,68,73,78,83,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,4,8,12,15,19,21,28,32,36,40,45,49,54,59,64,68,73,79,84,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,2,6,9,13,17,21,25,29,33,37,41,46,50,55,59,64,69,74,79,84,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,4,7,11,14,18,22,26,30,34,38,42,47,51,55,60,65,69,74,79,84,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,2,5,9,12,16,19,23,27,31,35,39,43,47,52,56,61,65,70,75,79,84,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,3,7,10,14,17,21,24,28,32,36,40,44,48,52,57,61,66,70,75,80,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,1,5,8,11,15,17,22,26,29,33,37,41,45,49,53,57,62,66,71,75,80,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,3,6,9,13,16,20,23,27,30,34,38,42,46,50,54,58,62,67,71,76,80,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,1,4,8,11,14,17,21,24,28,31,35,39,43,46,50,54,59,63,67,72,76,81,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,3,6,9,12,15,19,22,25,29,32,36,40,43,47,51,55,59,63,68,72,76,81,86,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,1,4,7,10,13,16,20,23,26,30,33,37,40,44,48,52,56,60,64,68,72,77,81,86,90,95,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,3,6,8,11,15,18,21,24,27,31,34,38,41,45,49,52,56,60,64,68,73,77,81,86,90,95,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,1,4,7,10,13,16,19,22,25,28,32,35,39,42,46,49,53,57,61,65,69,73,77,82,86,91,95,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,3,5,8,11,14,17,20,23,26,29,33,36,39,43,46,50,54,57,61,65,69,73,78,82,86,91,95,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,1,4,7,9,12,15,18,21,25,27,30,33,37,40,44,47,51,54,58,62,66,70,74,78,82,86,91,95,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,3,5,8,11,13,16,19,22,25,28,31,34,38,41,44,48,54,55,58,62,66,70,74,78,82,87,91,95,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,1,4,6,9,12,14,17,20,23,26,29,32,35,38,42,45,48,52,55,59,63,66,70,74,78,83,87,91,95,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,3,5,8,10,13,16,18,21,24,27,30,33,36,39,42,46,49,52,56,59,63,67,71,75,79,83,84,91,95,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,9,11,14,17,19,22,25,28,31,34,37,40,43,46,50,53,56,60,64,67,71,75,79,81,87,91,96,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,3,5,7,10,12,15,18,20,23,26,29,31,34,37,41,44,47,50,53,57,60,64,68,71,75,79,83,87,91,96,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,9,11,13,16,19,21,24,27,29,32,35,38,41,44,47,51,54,57,61,64,68,72,75,79,83,87,91,96,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,7,10,12,14,17,19,22,25,27,30,33,36,39,42,45,48,51,55,58,61,65,68,72,76,80,83,87,92,96,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,8,11,13,15,18,20,23,26,28,31,34,37,40,42,46,49,52,55,58,62,65,69,72,76,80,84,88,92,96,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,7,9,12,14,16,19,21,24,26,29,32,35,37,40,43,46,49,52,54,59,62,66,69,73,76,80,84,88,92,96,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,8,10,13,15,17,20,22,25,27,30,32,35,38,41,44,47,50,53,56,59,63,66,69,73,77,80,84,88,92,96,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,7,9,11,14,16,18,21,23,25,28,31,33,36,39,41,44,47,50,53,56,60,63,66,70,73,77,80,84,88,92,96,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,8,10,12,15,17,19,21,24,26,29,31,34,37,39,42,45,48,51,54,57,60,63,67,70,73,77,81,84,88,92,96,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,7,9,11,13,15,18,20,22,25,27,29,32,35,37,40,43,45,48,51,54,57,60,64,67,70,74,77,81,84,88,92,96,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,8,10,12,14,16,18,21,23,25,28,30,33,35,38,41,43,46,49,52,55,58,61,64,67,71,74,77,81,85,88,92,96,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,7,9,11,13,15,17,19,22,24,26,28,31,33,36,38,41,44,47,49,52,55,58,61,64,68,71,74,78,81,82,88,92,96,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,6,8,10,12,14,16,18,20,22,25,27,29,32,34,36,39,42,44,47,50,53,56,59,62,65,68,71,74,78,81,85,89,92,96,,,,,
